year,state_po,candidate,party,electors
1996,NV,"Clinton, Bill",democrat,2
1996,NV,"Dole, Robert",republican,2
1996,NH,"Clinton, Bill",democrat,2
1996,NH,"Dole, Robert",republican,2
1996,NJ,"Clinton, Bill",democrat,8
1996,NJ,"Dole, Robert",republican,6
1996,NJ,,independent,1
1996,NM,"Clinton, Bill",democrat,3
1996,NM,"Dole, Robert",republican,2
1996,NY,"Clinton, Bill",democrat,23
1996,NY,"Dole, Robert",republican,10
1996,NC,"Dole, Robert",republican,7
1996,NC,"Clinton, Bill",democrat,7
1996,ND,"Dole, Robert",republican,2
1996,ND,"Clinton, Bill",democrat,1
1996,ND,"Perot, Ross",reform party,0
1996,OH,"Clinton, Bill",democrat,10
1996,OH,"Dole, Robert",republican,9
1996,OH,"Perot, Ross",reform party,2
1996,OK,"Dole, Robert",republican,4
1996,OK,"Clinton, Bill",democrat,3
1996,OK,"Perot, Ross",reform party,1
1996,OR,"Clinton, Bill",democrat,4
1996,OR,"Dole, Robert",republican,3
1996,PA,"Clinton, Bill",democrat,13
1996,PA,"Dole, Robert",republican,10
1996,RI,"Clinton, Bill",democrat,3
1996,RI,"Dole, Robert",republican,1
1996,RI,"Perot, Ross",reform party,0
1996,SC,"Dole, Robert",republican,4
1996,SC,"Clinton, Bill",democrat,4
1996,SD,"Dole, Robert",republican,2
1996,SD,"Clinton, Bill",democrat,1
1996,SD,,independent,0
1996,TN,"Clinton, Bill",democrat,6
1996,TN,"Dole, Robert",republican,5
1996,TX,"Dole, Robert",republican,17
1996,TX,"Clinton, Bill",democrat,15
1996,UT,"Dole, Robert",republican,3
1996,UT,"Clinton, Bill",democrat,2
1996,VT,"Clinton, Bill",democrat,2
1996,VT,"Dole, Robert",republican,1
1996,VT,"Perot, Ross",reform party,0
1996,VA,"Dole, Robert",republican,7
1996,VA,"Clinton, Bill",democrat,6
1996,WA,"Clinton, Bill",democrat,6
1996,WA,"Dole, Robert",republican,5
1996,WV,"Clinton, Bill",democrat,3
1996,WV,"Dole, Robert",republican,2
1996,WV,"Perot, Ross",reform party,0
1996,WI,"Clinton, Bill",democrat,6
1996,WI,"Dole, Robert",republican,4
1996,WI,"Perot, Ross",reform party,1
1996,WY,"Dole, Robert",republican,2
1996,WY,"Clinton, Bill",democrat,1
1996,WY,"Perot, Ross",independent,0
2000,AL,"Bush, George W.",republican,5
2000,AL,"Gore, Al",democrat,4
2000,AK,"Bush, George W.",republican,2
2000,AK,"Gore, Al",democrat,1
2000,AK,"Nader, Ralph",green,0
2000,AZ,"Bush, George W.",republican,4
2000,AZ,"Gore, Al",democrat,4
2000,AR,"Bush, George W.",republican,3
2000,AR,"Gore, Al",democrat,3
2000,CA,"Gore, Al",democrat,30
2000,CA,"Bush, George W.",republican,24
2000,CO,"Bush, George W.",republican,4
2000,CO,"Gore, Al",democrat,4
2000,CT,"Gore, Al",democrat,5
2000,CT,"Bush, George W.",republican,3
2000,DE,"Gore, Al",democrat,2
2000,DE,"Bush, George W.",republican,1
2000,DC,"Gore, Al",democrat,3
2000,FL,"Bush, George W.",republican,13
2000,FL,"Gore, Al",democrat,12
2000,GA,"Bush, George W.",republican,7
2000,GA,"Gore, Al",democrat,6
2000,HI,"Gore, Al",democrat,2
2000,HI,"Bush, George W.",republican,2
2000,ID,"Bush, George W.",republican,3
2000,ID,"Gore, Al",democrat,1
2000,IL,"Gore, Al",democrat,12
2000,IL,"Bush, George W.",republican,10
2000,IN,"Bush, George W.",republican,7
2000,IN,"Gore, Al",democrat,5
2000,IA,"Gore, Al",democrat,4
2000,IA,"Bush, George W.",republican,3
2000,KS,"Bush, George W.",republican,4
2000,KS,"Gore, Al",democrat,2
2000,KY,"Bush, George W.",republican,5
2000,KY,"Gore, Al",democrat,3
2000,LA,"Bush, George W.",republican,5
2000,LA,"Gore, Al",democrat,4
2000,ME,"Gore, Al",democrat,2
2000,ME,"Bush, George W.",republican,2
2000,MD,"Gore, Al",democrat,6
2000,MD,"Bush, George W.",republican,4
2000,MA,"Gore, Al",democrat,8
2000,MA,"Bush, George W.",republican,4
2000,MI,"Gore, Al",democrat,10
2000,MI,"Bush, George W.",republican,8
2000,MN,"Gore, Al",democratic-farmer-labor,5
2000,MN,"Bush, George W.",republican,5
2000,MS,"Bush, George W.",republican,4
2000,MS,"Gore, Al",democrat,3
2000,MO,"Bush, George W.",republican,6
2000,MO,"Gore, Al",democrat,5
2000,MT,"Bush, George W.",republican,2
2000,MT,"Gore, Al",democrat,1
2000,NE,"Bush, George W.",republican,3
2000,NE,"Gore, Al",democrat,2
2000,NV,"Bush, George W.",republican,2
2000,NV,"Gore, Al",democrat,2
2000,NH,"Bush, George W.",republican,2
2000,NH,"Gore, Al",democrat,2
2000,NJ,"Gore, Al",democrat,9
2000,NJ,"Bush, George W.",republican,6
2000,NM,"Gore, Al",democrat,3
2000,NM,"Bush, George W.",republican,2
2000,NY,"Gore, Al",democrat,21
2000,NY,"Bush, George W.",republican,12
2000,NC,"Bush, George W.",republican,8
2000,NC,"Gore, Al",democrat,6
2000,ND,"Bush, George W.",republican,2
2000,ND,"Gore, Al",democrat,1
2000,OH,"Bush, George W.",republican,11
2000,OH,"Gore, Al",democrat,10
2000,OK,"Bush, George W.",republican,5
2000,OK,"Gore, Al",democrat,3
2000,OR,"Gore, Al",democrat,4
2000,OR,"Bush, George W.",republican,3
2000,PA,"Gore, Al",democrat,12
2000,PA,"Bush, George W.",republican,11
2000,RI,"Gore, Al",democrat,3
2000,RI,"Bush, George W.",republican,1
2000,SC,"Bush, George W.",republican,5
2000,SC,"Gore, Al",democrat,3
2000,SD,"Bush, George W.",republican,2
2000,SD,"Gore, Al",democrat,1
2000,TN,"Bush, George W.",republican,6
2000,TN,"Gore, Al",democrat,5
2000,TX,"Bush, George W.",republican,20
2000,TX,"Gore, Al",democrat,12
2000,UT,"Bush, George W.",republican,4
2000,UT,"Gore, Al",democrat,1
2000,VT,"Gore, Al",democrat,2
2000,VT,"Bush, George W.",republican,1
2000,VA,"Bush, George W.",republican,7
2000,VA,"Gore, Al",democrat,6
2000,WA,"Gore, Al",democrat,6
2000,WA,"Bush, George W.",republican,5
2000,WV,"Bush, George W.",republican,3
2000,WV,"Gore, Al",democrat,2
2000,WI,"Gore, Al",democrat,6
2000,WI,"Bush, George W.",republican,5
2000,WY,"Bush, George W.",republican,2
2000,WY,"Gore, Al",democrat,1
2004,AL,"Bush, George W.",republican,6
2004,AL,"Kerry, John",democrat,3
2004,AK,"Bush, George W.",republican,2
2004,AK,"Kerry, John",democrat,1
2004,AZ,"Bush, George W.",republican,6
2004,AZ,"Kerry, John",democrat,4
2004,AR,"Bush, George W.",republican,3
2004,AR,"Kerry, John",democrat,3
2004,CA,"Kerry, John",democrat,30
2004,CA,"Bush, George W.",republican,25
2004,CO,"Bush, George W.",republican,5
2004,CO,"Kerry, John",democrat,4
2004,CT,"Kerry, John",democrat,4
2004,CT,"Bush, George W.",republican,3
2004,DE,"Kerry, John",democrat,2
2004,DE,"Bush, George W.",republican,1
2004,DC,"Kerry, John",democrat,3
2004,FL,"Bush, George W.",republican,14
2004,FL,"Kerry, John",democrat,13
2004,GA,"Bush, George W.",republican,9
2004,GA,"Kerry, John",democrat,6
2004,HI,"Kerry, John",democrat,2
2004,HI,"Bush, George W.",republican,2
2004,ID,"Bush, George W.",republican,3
2004,ID,"Kerry, John",democrat,1
2004,IL,"Kerry, John",democrat,12
2004,IL,"Bush, George W.",republican,9
2004,IN,"Bush, George W.",republican,7
2004,IN,"Kerry, John",democrat,4
2004,IA,"Bush, George W.",republican,4
2004,IA,"Kerry, John",democrat,3
2004,KS,"Bush, George W.",republican,4
2004,KS,"Kerry, John",democrat,2
2004,KY,"Bush, George W.",republican,5
2004,KY,"Kerry, John",democrat,3
2004,LA,"Bush, George W.",republican,5
2004,LA,"Kerry, John",democrat,4
2004,ME,"Kerry, John",democrat,2
2004,ME,"Bush, George W.",republican,2
2004,MD,"Kerry, John",democrat,6
2004,MD,"Bush, George W.",republican,4
2004,MA,"Kerry, John",democrat,8
2004,MA,"Bush, George W.",republican,4
2004,MI,"Kerry, John",democrat,9
2004,MI,"Bush, George W.",republican,8
2004,MN,"Kerry, John",democratic-farmer-labor,5
2004,MN,"Bush, George W.",republican,5
2004,MS,"Bush, George W.",republican,4
2004,MS,"Kerry, John",democrat,2
2004,MO,"Bush, George W.",republican,6
2004,MO,"Kerry, John",democrat,5
2004,MT,"Bush, George W.",republican,2
2004,MT,"Kerry, John",democrat,1
2004,NE,"Bush, George W.",republican,4
2004,NE,"Kerry, John",democrat,1
2004,NV,"Bush, George W.",republican,3
2004,NV,"Kerry, John",democrat,2
2004,NH,"Kerry, John",democrat,2
2004,NH,"Bush, George W.",republican,2
2004,NJ,"Kerry, John",democrat,8
2004,NJ,"Bush, George W.",republican,7
2004,NM,"Bush, George W.",republican,3
2004,NM,"Kerry, John",democrat,2
2004,NY,"Kerry, John",democrat,19
2004,NY,"Bush, George W.",republican,12
2004,NC,"Bush, George W.",republican,8
2004,NC,"Kerry, John",democrat,7
2004,ND,"Bush, George W.",republican,2
2004,ND,"Kerry, John",democrat,1
2004,OH,"Bush, George W.",republican,10
2004,OH,"Kerry, John",democrat,10
2004,OK,"Bush, George W.",republican,5
2004,OK,"Kerry, John",democrat,2
2004,OR,"Kerry, John",democrat,4
2004,OR,"Bush, George W.",republican,3
2004,PA,"Kerry, John",democrat,11
2004,PA,"Bush, George W.",republican,10
2004,RI,"Kerry, John",democrat,3
2004,RI,"Bush, George W.",republican,1
2004,SC,"Bush, George W.",republican,5
2004,SC,"Kerry, John",democrat,3
2004,SD,"Bush, George W.",republican,2
2004,SD,"Kerry, John",democrat,1
2004,TN,"Bush, George W.",republican,6
2004,TN,"Kerry, John",democrat,5
2004,TX,"Bush, George W.",republican,21
2004,TX,"Kerry, John",democrat,13
2004,UT,"Bush, George W.",republican,4
2004,UT,"Kerry, John",democrat,1
2004,VT,"Kerry, John",democrat,2
2004,VT,"Bush, George W.",republican,1
2004,VA,"Bush, George W.",republican,7
2004,VA,"Kerry, John",democrat,6
2004,WA,"Kerry, John",democrat,6
2004,WA,"Bush, George W.",republican,5
2004,WV,"Bush, George W.",republican,3
2004,WV,"Kerry, John",democrat,2
2004,WI,"Kerry, John",democrat,5
2004,WI,"Bush, George W.",republican,5
2004,WY,"Bush, George W.",republican,2
2004,WY,"Kerry, John",democrat,1
2008,AL,"McCain, John",republican,6
2008,AL,"Obama, Barack H.",democrat,3
2008,AK,"McCain, John",republican,2
2008,AK,"Obama, Barack H.",democrat,1
2008,AZ,"McCain, John",republican,5
2008,AZ,"Obama, Barack H.",democrat,5
2008,AR,"McCain, John",republican,4
2008,AR,"Obama, Barack H.",democrat,2
2008,CA,"Obama, Barack H.",democrat,34
2008,CA,"McCain, John",republican,21
2008,CO,"Obama, Barack H.",democrat,5
2008,CO,"McCain, John",republican,4
2008,CT,"Obama, Barack H.",democrat,4
2008,CT,"McCain, John",republican,3
2008,DE,"Obama, Barack H.",democrat,2
2008,DE,"McCain, John",republican,1
2008,DC,"Obama, Barack H.",democrat,3
2008,FL,"Obama, Barack H.",democrat,14
2008,FL,"McCain, John",republican,13
2008,GA,"McCain, John",republican,8
2008,GA,"Obama, Barack H.",democrat,7
2008,HI,"Obama, Barack H.",democrat,3
2008,HI,"McCain, John",republican,1
2008,ID,"McCain, John",republican,3
2008,ID,"Obama, Barack H.",democrat,1
2008,IL,"Obama, Barack H.",democrat,13
2008,IL,"McCain, John",republican,8
2008,IN,"Obama, Barack H.",democrat,6
2008,IN,"McCain, John",republican,5
2008,IA,"Obama, Barack H.",democrat,4
2008,IA,"McCain, John",republican,3
2008,KS,"McCain, John",republican,4
2008,KS,"Obama, Barack H.",democrat,2
2008,KY,"McCain, John",republican,5
2008,KY,"Obama, Barack H.",democrat,3
2008,LA,"McCain, John",republican,5
2008,LA,"Obama, Barack H.",democrat,4
2008,ME,"Obama, Barack H.",democrat,2
2008,ME,"McCain, John",republican,2
2008,MD,"Obama, Barack H.",democrat,6
2008,MD,"McCain, John",republican,4
2008,MA,"Obama, Barack H.",democrat,8
2008,MA,"McCain, John",republican,4
2008,MI,"Obama, Barack H.",democrat,10
2008,MI,"McCain, John",republican,7
2008,MN,"Obama, Barack H.",democrat,6
2008,MN,"McCain, John",republican,4
2008,MS,"McCain, John",republican,3
2008,MS,"Obama, Barack H.",democrat,3
2008,MO,"McCain, John",republican,6
2008,MO,"Obama, Barack H.",democrat,5
2008,MT,"McCain, John",republican,2
2008,MT,"Obama, Barack H.",democrat,1
2008,NE,"McCain, John",republican,3
2008,NE,"Obama, Barack H.",democrat,2
2008,NV,"Obama, Barack H.",democrat,3
2008,NV,"McCain, John",republican,2
2008,NH,"Obama, Barack H.",democrat,2
2008,NH,"McCain, John",republican,2
2008,NJ,"Obama, Barack H.",democrat,9
2008,NJ,"McCain, John",republican,6
2008,NM,"Obama, Barack H.",democrat,3
2008,NM,"McCain, John",republican,2
2008,NY,"Obama, Barack H.",democrat,21
2008,NY,"McCain, John",republican,10
2008,NC,"Obama, Barack H.",democrat,8
2008,NC,"McCain, John",republican,7
2008,ND,"McCain, John",republican,2
2008,ND,"Obama, Barack H.",democrat,1
2008,OH,"Obama, Barack H.",democrat,10
2008,OH,"McCain, John",republican,10
2008,OK,"McCain, John",republican,5
2008,OK,"Obama, Barack H.",democrat,2
2008,OR,"Obama, Barack H.",democrat,4
2008,OR,"McCain, John",republican,3
2008,PA,"Obama, Barack H.",democrat,12
2008,PA,"McCain, John",republican,9
2008,RI,"Obama, Barack H.",democrat,3
2008,RI,"McCain, John",republican,1
2008,SC,"McCain, John",republican,4
2008,SC,"Obama, Barack H.",democrat,4
2008,SD,"McCain, John",republican,2
2008,SD,"Obama, Barack H.",democrat,1
2008,TN,"McCain, John",republican,6
2008,TN,"Obama, Barack H.",democrat,5
2008,TX,"McCain, John",republican,19
2008,TX,"Obama, Barack H.",democrat,15
2008,UT,"McCain, John",republican,3
2008,UT,"Obama, Barack H.",democrat,2
2008,VT,"Obama, Barack H.",democrat,2
2008,VT,"McCain, John",republican,1
2008,VA,"Obama, Barack H.",democrat,7
2008,VA,"McCain, John",republican,6
2008,WA,"Obama, Barack H.",democrat,7
2008,WA,"McCain, John",republican,4
2008,WV,"McCain, John",republican,3
2008,WV,"Obama, Barack H.",democrat,2
2008,WI,"Obama, Barack H.",democrat,6
2008,WI,"McCain, John",republican,4
2008,WY,"McCain, John",republican,2
2008,WY,"Obama, Barack H.",democrat,1
2012,AL,"Romney, Mitt",republican,6
2012,AL,"Obama, Barack H.",democrat,3
2012,AK,"Romney, Mitt",republican,2
2012,AK,"Obama, Barack H.",democrat,1
2012,AZ,"Romney, Mitt",republican,6
2012,AZ,"Obama, Barack H.",democrat,5
2012,AR,"Romney, Mitt",republican,4
2012,AR,"Obama, Barack H.",democrat,2
2012,CA,"Obama, Barack H.",democrat,34
2012,CA,"Romney, Mitt",republican,21
2012,CO,"Obama, Barack H.",democrat,5
2012,CO,"Romney, Mitt",republican,4
2012,CT,"Obama, Barack H.",democrat,4
2012,CT,"Romney, Mitt",republican,3
2012,DE,"Obama, Barack H.",democrat,2
2012,DE,"Romney, Mitt",republican,1
2012,DC,"Obama, Barack H.",democrat,3
2012,FL,"Obama, Barack H.",democrat,15
2012,FL,"Romney, Mitt",republican,14
2012,GA,"Romney, Mitt",republican,9
2012,GA,"Obama, Barack H.",democrat,7
2012,HI,"Obama, Barack H.",democrat,3
2012,HI,"Romney, Mitt",republican,1
2012,ID,"Romney, Mitt",republican,3
2012,ID,"Obama, Barack H.",democrat,1
2012,IL,"Obama, Barack H.",democrat,12
2012,IL,"Romney, Mitt",republican,8
2012,IN,"Romney, Mitt",republican,6
2012,IN,"Obama, Barack H.",democrat,5
2012,IA,"Obama, Barack H.",democrat,3
2012,IA,"Romney, Mitt",republican,3
2012,KS,"Romney, Mitt",republican,4
2012,KS,"Obama, Barack H.",democrat,2
2012,KY,"Romney, Mitt",republican,5
2012,KY,"Obama, Barack H.",democrat,3
2012,LA,"Romney, Mitt",republican,5
2012,LA,"Obama, Barack H.",democrat,3
2012,ME,"Obama, Barack H.",democrat,2
2012,ME,"Romney, Mitt",republican,2
2012,MD,"Obama, Barack H.",democrat,6
2012,MD,"Romney, Mitt",republican,4
2012,MA,"Obama, Barack H.",democrat,7
2012,MA,"Romney, Mitt",republican,4
2012,MI,"Obama, Barack H.",democrat,9
2012,MI,"Romney, Mitt",republican,7
2012,MN,"Obama, Barack H.",democratic-farmer-labor,5
2012,MN,"Romney, Mitt",republican,5
2012,MS,"Romney, Mitt",republican,3
2012,MS,"Obama, Barack H.",democrat,3
2012,MO,"Romney, Mitt",republican,6
2012,MO,"Obama, Barack H.",democrat,4
2012,MT,"Romney, Mitt",republican,2
2012,MT,"Obama, Barack H.",democrat,1
2012,NE,"Romney, Mitt",republican,3
2012,NE,"Obama, Barack H.",democrat,2
2012,NV,"Obama, Barack H.",democrat,3
2012,NV,"Romney, Mitt",republican,3
2012,NH,"Obama, Barack H.",democrat,2
2012,NH,"Romney, Mitt",republican,2
2012,NJ,"Obama, Barack H.",democrat,8
2012,NJ,"Romney, Mitt",republican,6
2012,NM,"Obama, Barack H.",democrat,3
2012,NM,"Romney, Mitt",republican,2
2012,NY,"Obama, Barack H.",democrat,19
2012,NY,"Romney, Mitt",republican,10
2012,NC,"Romney, Mitt",republican,8
2012,NC,"Obama, Barack H.",democrat,7
2012,ND,"Romney, Mitt",republican,2
2012,ND,"Obama, Barack H.",democrat,1
2012,OH,"Obama, Barack H.",democrat,9
2012,OH,"Romney, Mitt",republican,9
2012,OK,"Romney, Mitt",republican,5
2012,OK,"Obama, Barack H.",democrat,2
2012,OR,"Obama, Barack H.",democrat,4
2012,OR,"Romney, Mitt",republican,3
2012,PA,"Obama, Barack H.",democrat,11
2012,PA,"Romney, Mitt",republican,9
2012,RI,"Obama, Barack H.",democrat,3
2012,RI,"Romney, Mitt",republican,1
2012,SC,"Romney, Mitt",republican,5
2012,SC,"Obama, Barack H.",democrat,4
2012,SD,"Romney, Mitt",republican,2
2012,SD,"Obama, Barack H.",democrat,1
2012,TN,"Romney, Mitt",republican,7
2012,TN,"Obama, Barack H.",democrat,4
2012,TX,"Romney, Mitt",republican,22
2012,TX,"Obama, Barack H.",democrat,16
2012,UT,"Romney, Mitt",republican,5
2012,UT,"Obama, Barack H.",democrat,1
2012,VT,"Obama, Barack H.",democrat,2
2012,VT,"Romney, Mitt",republican,1
2012,VA,"Obama, Barack H.",democrat,7
2012,VA,"Romney, Mitt",republican,6
2012,WA,"Obama, Barack H.",democrat,7
2012,WA,"Mitt, Romney",republican,5
2012,WV,"Romney, Mitt",republican,3
2012,WV,"Obama, Barack H.",democrat,2
2012,WI,"Obama, Barack H.",democrat,5
2012,WI,"Romney, Mitt",republican,5
2012,WY,"Romney, Mitt",republican,2
2012,WY,"Obama, Barack H.",democrat,1
2016,AL,"Trump, Donald J.",republican,6
2016,AL,"Clinton, Hillary",democrat,3
2016,AK,"Trump, Donald J.",republican,2
2016,AK,"Clinton, Hillary",democrat,1
2016,AZ,"Trump, Donald J.",republican,6
2016,AZ,"Clinton, Hillary",democrat,5
2016,AR,"Trump, Donald J.",republican,4
2016,AR,"Clinton, Hillary",democrat,2
2016,CA,"Clinton, Hillary",democrat,37
2016,CA,"Trump, Donald J.",republican,18
2016,CO,"Clinton, Hillary",democrat,5
2016,CO,"Trump, Donald J.",republican,4
2016,CT,"Clinton, Hillary",democrat,4
2016,CT,"Trump, Donald J.",republican,3
2016,DE,"Clinton, Hillary",democrat,2
2016,DE,"Trump, Donald J.",republican,1
2016,DC,"Clinton, Hillary",democrat,3
2016,FL,"Trump, Donald J.",republican,15
2016,FL,"Clinton, Hillary",democrat,14
2016,GA,"Trump, Donald J.",republican,8
2016,GA,"Clinton, Hillary",democrat,8
2016,HI,"Clinton, Hillary",democrat,3
2016,HI,"Trump, Donald J.",republican,1
2016,ID,"Trump, Donald J.",republican,3
2016,ID,"Clinton, Hillary",democrat,1
2016,IL,"Clinton, Hillary",democrat,12
2016,IL,"Trump, Donald J.",republican,8
2016,IN,"Trump, Donald J.",republican,7
2016,IN,"Clinton, Hillary",democrat,4
2016,IA,"Trump, Donald J.",republican,3
2016,IA,"Clinton, Hillary",democrat,3
2016,KS,"Trump, Donald J.",republican,4
2016,KS,"Clinton, Hillary",democrat,2
2016,KY,"Trump, Donald J.",republican,5
2016,KY,"Clinton, Hillary",democrat,3
2016,LA,"Trump, Donald J.",republican,5
2016,LA,"Clinton, Hillary",democrat,3
2016,ME,"Clinton, Hillary",democrat,2
2016,ME,"Trump, Donald J.",republican,2
2016,MD,"Clinton, Hillary",democrat,7
2016,MD,"Trump, Donald J.",republican,3
2016,MA,"Clinton, Hillary",democrat,7
2016,MA,"Trump, Donald J.",republican,4
2016,MI,"Trump, Donald J.",republican,8
2016,MI,"Clinton, Hillary",democrat,8
2016,MN,"Clinton, Hillary",democrat,5
2016,MN,"Trump, Donald J.",republican,5
2016,MS,"Trump, Donald J.",republican,4
2016,MS,"Clinton, Hillary",democrat,2
2016,MO,"Trump, Donald J.",republican,6
2016,MO,"Clinton, Hillary",democrat,4
2016,MT,"Trump, Donald J.",republican,2
2016,MT,"Clinton, Hillary",democrat,1
2016,NE,"Trump, Donald J.",republican,3
2016,NE,"Clinton, Hillary",democrat,2
2016,NV,"Clinton, Hillary",democrat,3
2016,NV,"Trump, Donald J.",republican,3
2016,NH,"Clinton, Hillary",democrat,2
2016,NH,"Trump, Donald J.",republican,2
2016,NJ,"Clinton, Hillary",democrat,8
2016,NJ,"Trump, Donald J.",republican,6
2016,NM,"Clinton, Hillary",democrat,3
2016,NM,"Trump, Donald J.",republican,2
2016,NY,"Clinton, Hillary",democrat,19
2016,NY,"Trump, Donald J.",republican,10
2016,NC,"Trump, Donald J.",republican,8
2016,NC,"Clinton, Hillary",democrat,7
2016,ND,"Trump, Donald J.",republican,2
2016,ND,"Clinton, Hillary",democrat,1
2016,OH,"Trump, Donald J.",republican,10
2016,OH,"Clinton, Hillary",democrat,8
2016,OK,"Trump, Donald J.",republican,5
2016,OK,"Clinton, Hillary",democrat,2
2016,OR,"Clinton, Hillary",democrat,4
2016,OR,"Trump, Donald J.",republican,3
2016,PA,"Trump, Donald J.",republican,10
2016,PA,"Clinton, Hillary",democrat,10
2016,RI,"Clinton, Hillary",democrat,2
2016,RI,"Trump, Donald J.",republican,2
2016,SC,"Trump, Donald J.",republican,5
2016,SC,"Clinton, Hillary",democrat,4
2016,SD,"Trump, Donald J.",republican,2
2016,SD,"Clinton, Hillary",democrat,1
2016,TN,"Trump, Donald J.",republican,7
2016,TN,"Clinton, Hillary",democrat,4
2016,TX,"Trump, Donald J.",republican,21
2016,TX,"Clinton, Hillary",democrat,17
2016,UT,"Trump, Donald J.",republican,3
2016,UT,"Clinton, Hillary",democrat,2
2016,UT,"McMullin, Evan",no party affiliation,1
2016,VT,"Clinton, Hillary",democrat,2
2016,VT,"Trump, Donald J.",republican,1
2016,VA,"Clinton, Hillary",democrat,7
2016,VA,"Trump, Donald J.",republican,6
2016,WA,"Clinton, Hillary",democrat,7
2016,WA,"Trump, Donald J.",republican,5
2016,WV,"Trump, Donald J.",republican,4
2016,WV,"Clinton, Hillary",democrat,1
2016,WI,"Trump, Donald J.",republican,5
2016,WI,"Clinton, Hillary",democrat,5
2016,WY,"Trump, Donald J.",republican,3
2016,WY,"Clinton, Hillary",democrat,0
